Brand Name,Generic Name,Drug Uses**
1st Tier Unifine Pentips,"Pen Needle, Diabetic",Drug uses not available
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",Drug uses not available
Abacavir,Abacavir Sulfate,"This drug is used with other HIV medications to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. Abacavir belongs to a class of drugs known as nucleoside reverse transcriptase inhibitors-NRTI. Abacavir is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, do all of the following: (1) continue to take all HIV medications exactly as prescribed by your doctor, (2) always use an effective barrier method (latex or polyurethane condoms/dental dams) during all sexual activity, and (3) do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,"This product contains 2 drugs: abacavir and lamivudine. It is used with other HIV medications to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. Abacavir and lamivudine both belong to a class of drugs known as nucleoside reverse transcriptase inhibitors (NRTIs). Abacavir/lamivudine is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, do all of the following: (1) continue to take all HIV medications exactly as prescribed by your doctor, (2) always use an effective barrier method (latex or polyurethane condoms/dental dams) during all sexual activity, and (3) do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,"This product contains 3 drugs: abacavir, lamivudine, and zidovudine. It is used alone or with other HIV medications to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. Abacavir, lamivudine, and zidovudine all belong to a class of drugs known as nucleoside reverse transcriptase inhibitors (NRTIs). Abacavir/lamivudine/zidovudine is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, do all of the following: (1) continue to take all HIV medications exactly as prescribed by your doctor, (2) always use an effective barrier method (latex or polyurethane condoms/dental dams) during all sexual activity, and (3) do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Abelcet,Amphotericin B Lipid Complex,"This medication is used to treat a variety of serious fungal infections. It is often used in patients who cannot tolerate or who do not respond to the regular amphotericin treatment. It works by stopping the growth of fungi. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Abilify Maintena,Aripiprazole,"Extended-release aripiprazole injection is used to treat a mental/mood disorder called schizophrenia. This medication can decrease hallucinations (hearing/seeing things that are not there) and improve your concentration. It also helps you to think more clearly, feel less nervous, and take a more active part in everyday life. Some brands of this medication are also used to treat bipolar disorder. It can help to decrease extreme changes in mood and help you feel less agitated. Extended-release aripiprazole injection is a long-acting psychiatric medication known as an atypical antipsychotic. It works by helping to restore the balance of certain natural substances in the brain. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Abilify Mycite,Aripiprazole,"This product is a combination of aripiprazole tablets and a patch. Each tablet has an embedded sensor, and the patch detects the signal from the tablet sensor. You will use it with a smartphone application (app). Your health care professional or caregiver will also be able to see data from the tablet sensor in a web-based portal. Aripiprazole is used to treat certain mental/mood disorders (such as bipolar disorder, schizophrenia, Tourette's syndrome, and irritability associated with autistic disorder). It may also be used in combination with other medication to treat depression. Aripiprazole is known as an antipsychotic drug (atypical type). It works by helping to restore the balance of certain natural chemicals in the brain (neurotransmitters). This medication can decrease hallucinations and improve your concentration. It helps you to think more clearly and positively about yourself, feel less nervous, and take a more active part in everyday life. Aripiprazole can treat severe mood swings and decrease how often mood swings occur. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Abilify*,Aripiprazole,"Aripiprazole is used to treat certain mental/mood disorders (such as bipolar disorder, schizophrenia, Tourette's syndrome, and irritability associated with autistic disorder). It may also be used in combination with other medication to treat depression. Aripiprazole is known as an antipsychotic drug (atypical type). It works by helping to restore the balance of certain natural chemicals in the brain (neurotransmitters). This medication can decrease hallucinations and improve your concentration. It helps you to think more clearly and positively about yourself, feel less nervous, and take a more active part in everyday life. Aripiprazole can treat severe mood swings and decrease how often mood swings occur. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Abiraterone Acetate,Abiraterone Acetate,"This medication is used to treat prostate cancer. Abiraterone belongs to a class of drugs known as anti-androgens (anti-testosterone). Testosterone, a natural hormone, helps prostate cancer to grow and spread. Abiraterone works by blocking the production of testosterone, thereby slowing the growth and spread of prostate cancer. This medication should not be given to women or children. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Abraxane,Paclitaxel Protein-Bound,"This medication is used to treat certain cancers (including breast, lung, and pancreatic cancer). Paclitaxel belongs to a class of drugs known as chemotherapy drugs. It works by slowing or stopping the growth of cancer cells. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Absorica,Isotretinoin,"This medication is used to treat severe cystic acne (also known as nodular acne) that has not responded to other treatment (e.g., benzoyl peroxide or clindamycin applied to the skin or tetracycline or minocycline taken by mouth). It belongs to a class of drugs known as retinoids. It works by decreasing facial oil (sebum) production. High amounts of sebum can lead to severe acne. If left untreated, severe acne may cause permanent scarring. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Abstral,Fentanyl Citrate,"This medication is used to help relieve sudden (breakthrough) pain in people who are already taking opioid medication around-the-clock for cancer pain. Fentanyl belongs to a class of drugs known as opioid analgesics. It works in the brain to change how your body feels and responds to pain. This medication should not be used to relieve mild or short-term pain (such as due to headache/migraine, dental procedures, surgery). NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Acamprosate Calcium,Acamprosate Calcium,"This medication is used along with counseling and support to help people who are alcohol dependent not drink alcohol. Acamprosate works by restoring the natural balance of chemicals in the brain (neurotransmitters). Before starting this medication, you should no longer be drinking alcohol. Acamprosate has not been shown to work well if you are still drinking alcohol when you start taking it. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
